Stations,Lat,Lon,dem,twi
CABANILLAS,-15.16,-70,3921,6.1
CAÑETE,-13.07,-76.3,211,9.0
CHOTANO LAJAS,-6.56,-78.7,2453,4.6
LA CASCARILLA,-5.66,-78.9,2322,7.2
ÑAÑA,-11.99,-76.9,397,9.8
HUANGACOCHA,-7.96,-78.7,2875,5.8
AYAVIRI-PUN,-14.88,-70.6,3911,14.1
MUÑANI,-14.76,-70,4094,4.7
FRANCISCO DE ORELLANA,-3.42,-72.8,81,8.5
MANITI,-3.51,-72.8,85,11.0
BELLAVISTA,-3.54,-73.7,122,7.0
CHILCAYOC,-13.88,-73.7,2492,6.6
PAUZA,-15.28,-73.3,2466,4.3
PAMPA BLANCA-ARE,-17.07,-71.7,290,5.8
CAPACHICA,-15.61,-69.8,3809,14.0
PAMPAHUTA,-15.48,-70.7,4591,7.3
LAMPA,-15.64,-70.3,3868,8.3
CARAVELI,-15.77,-73.4,1931,4.4
YANAQUIHUA,-15.78,-72.9,2990,5.8
LAMPA-AYA,-15.18,-73.3,2828,4.5
COTAHUASI,-15.21,-72.9,2646,6.3
SALAMANCA,-15.5,-72.8,4084,7.2
CHICHAS,-15.54,-72.9,2512,4.2
PUNTA ATICO,-16.23,-73.7,0,15.8
CORDOVA,-14.03,-75.2,3206,6.1
LLAUTA,-14.23,-74.9,3459,6.2
HUAC-HUAS,-14.13,-74.9,4044,8.6
PAMPA BLANCA,-14.24,-75.1,1181,5.0
RIO GRANDE,-14.53,-75.2,351,5.4
COPARA,-14.97,-74.9,588,9.9
SAN JUAN,-7.29,-78.5,2289,5.3
LUCANAS,-14.62,-74.2,3744,3.2
PUQUIO,-14.7,-74.1,3053,6.0
CORACORA,-15.01,-73.8,3036,7.1
SANTIAGO DE CHOCORVOS,-13.83,-75.2,3731,6.0
TAMBO,-13.69,-75.3,3593,5.4
HUAMANI,-13.83,-75.6,1137,4.0
SAN CAMILO,-14.07,-75.7,416,6.9
OCUCAJE,-14.38,-75.7,309,9.5
SAN JUAN DE YANAC,-13.21,-75.8,2815,6.9
HUACHOS,-13.22,-75.5,3805,5.3
SAN JUAN DE CASTROVIRREYNA,-13.21,-75.6,2763,4.2
FONAGRO (CHINCHA),-13.46,-76.1,100,10.5
HACIENDA BERNALES,-13.75,-76,258,7.7
HUAAEC,-12.29,-76.1,4416,5.9
HUANCATA,-12.22,-76.2,3754,3.8
AYAVIRI,-12.38,-76.1,3116,3.3
SAN PEDRO DE PILAS,-12.45,-76.2,3394,7.2
YAURICOCHA,-12.32,-75.7,4667,5.9
TANTA,-12.12,-76,4521,8.0
VILCA,-12.11,-75.8,4641,4.5
CARANIA,-12.34,-75.9,4764,4.2
PACARAN,-12.83,-76.1,1911,5.0
HUARANGAL,-11.78,-77.1,253,13.9
HUAROS,-11.4,-76.6,3867,4.3
PARIACANCHA,-11.38,-76.5,4254,4.2
CANTA,-11.47,-76.6,3361,6.2
HUAMANTANGA,-11.5,-76.7,3512,4.6
LACHAQUI,-11.55,-76.6,4391,4.8
ARAHUAY,-11.62,-76.7,2578,4.2
SHEQUE,-11.67,-76.5,3776,4.4
CARAMPOMA,-11.66,-76.5,3235,3.3
RIO BLANCO,-11.73,-76.3,4018,5.0
AUTISHA,-11.74,-76.6,2699,8.4
MATUCANA,-11.84,-76.4,3225,5.6
SANTA EULALIA,-11.92,-76.7,1168,6.4
CANCHACALLA,-11.84,-76.5,3515,5.1
CHOSICA,-11.93,-76.7,1069,5.2
SAN MARCOS,-7.33,-78.2,2408,5.2
SANTIAGO DE TUNA,-11.98,-76.5,3927,5.6
ANTIOQUIA,-12.08,-76.5,1797,7.0
LANGA,-12.1,-76.4,3064,5.0
SAN LAZARO DE ESCOMARCA,-12.18,-76.4,3519,7.0
LOMAS DE LACHAY,-11.37,-77.4,125,7.8
DONOSO,-11.47,-77.2,192,8.2
OYON,-10.67,-76.8,3976,4.9
PICOY,-10.88,-76.7,3493,5.2
ANDAJES,-10.78,-76.9,2937,10.3
PAMPA LIBRE,-10.87,-77,2851,6.7
PARQUIN,-10.97,-76.7,4028,14.2
PACCHO,-10.95,-76.9,3865,11.9
